id,name,capacity,city,team
1,Chase Center,19596,Golden State,1610612744
2,Toyota Center,18104,Houston,1610612745
3,Smoothie King Center,10000,New Orleans,1610612740
4,Scotiabank Arena,19800,Toronto,1610612761
5,Quicken Loans Arena,20562,Cleveland,1610612739
6,Pepsi Center,19099,Denver,1610612743
7,Wells Fargo Center,10000,Philadelphia,1610612755
8,Target Center,19356,Minnesota,1610612750
9,Staples Center,19060,Los Angeles,1610612746
10,Not Available,10000,Not Available,1610612766
11,Staples Center,19060,Los Angeles,1610612747
12,Chesapeake Energy Arena,19163,Oklahoma City,1610612760
13,Capital One Arena,20647,Washington,1610612764
14,Not Available,10000,Not Available,1610612751
15,Fiserv Forum,17500,Milwaukee,1610612749
16,Moda Center,19980,Portland,1610612757
17,Bankers Life Fieldhouse,18345,Indiana,1610612754
18,Madison Square Garden,19763,New York,1610612752
19,Vivint Smart Home Arena,20148,Utah,1610612762
20,TD Garden,18624,Boston,1610612738
21,Not Available,10000,Not Available,1610612756
22,Little Caesars Arena,21000,Detroit,1610612765
23,AmericanAirlines Arena,19600,Miami,1610612748
24,Amway Center,0,Orlando,1610612753
25,State Farm Arena,18729,Atlanta,1610612737
26,United Center,21711,Chicago,1610612741
27,AT&T Center,18694,San Antonio,1610612759
28,American Airlines Center,19200,Dallas,1610612742
29,FedExForum,18119,Memphis,1610612763
30,Golden 1 Center,17500,Sacramento,1610612758
