name,team_season_season,team_season_team,coach_stats
Alvin Gentry,2018,1610612740,3
Alvin Gentry,2019,1610612740,34
Billy Donovan,2018,1610612760,12
Billy Donovan,2019,1610612760,54
Brad Stevens,2018,1610612738,20
Brad Stevens,2019,1610612738,32
Brett Brown,2018,1610612755,7
Brett Brown,2019,1610612755,49
Dave Joerger,2018,1610612758,30
Dave Joerger,2019,1610612758,52
David Fizdale,2018,1610612763,29
David Fizdale,2019,1610612763,57
Doc Rivers,2018,1610612746,9
Doc Rivers,2019,1610612746,40
Dwane Casey,2018,1610612761,4
Dwane Casey,2019,1610612761,55
Earl Watson,2018,1610612756,21
Earl Watson,2019,1610612756,50
Erik Spoelstra,2018,1610612748,23
Erik Spoelstra,2019,1610612748,42
Frank Vogel,2018,1610612753,24
Frank Vogel,2019,1610612753,47
Fred Hoiberg,2018,1610612741,26
Fred Hoiberg,2019,1610612741,35
Gregg Popovich,2018,1610612759,27
Gregg Popovich,2019,1610612759,53
Jason Kidd,2018,1610612749,15
Jason Kidd,2019,1610612749,43
Jeff Hornacek,2018,1610612752,18
Jeff Hornacek,2019,1610612752,46
Kenny Atkinson,2018,1610612751,14
Kenny Atkinson,2019,1610612751,45
Luke Walton,2018,1610612747,11
Luke Walton,2019,1610612747,41
Mike Budenholzer,2018,1610612737,25
Mike Budenholzer,2019,1610612737,31
"Mike D'Antoni",2018,1610612745,2
"Mike D'Antoni",2019,1610612745,39
Mike Malone,2018,1610612743,6
Mike Malone,2019,1610612743,37
Nate McMillan,2018,1610612754,17
Nate McMillan,2019,1610612754,48
Quin Snyder,2018,1610612762,19
Quin Snyder,2019,1610612762,56
Rick Carlisle,2018,1610612742,28
Rick Carlisle,2019,1610612742,36
Scott Brooks,2018,1610612764,13
Scott Brooks,2019,1610612764,58
Stan Van Gundy,2018,1610612765,22
Stan Van Gundy,2019,1610612765,59
Steve Clifford,2018,1610612766,10
Steve Clifford,2019,1610612766,60
Steve Kerr,2018,1610612744,1
Steve Kerr,2019,1610612744,38
Terry Stotts,2018,1610612757,16
Terry Stotts,2019,1610612757,51
Tom Thibodeau,2018,1610612750,8
Tom Thibodeau,2019,1610612750,44
Tyronn Lue,2018,1610612739,5
Tyronn Lue,2019,1610612739,33
