id,name,age,team_season_season,team_season_team,position,player_stats
1,Alex Abrines,24,2018,1610612760,SG,1
2,Quincy Acy,27,2018,1610612751,PF,2
3,Steven Adams,24,2018,1610612760,C,3
4,Bam Adebayo,20,2018,1610612748,C,4
5,Arron Afflalo,32,2018,1610612753,SG,5
6,Cole Aldrich,29,2018,1610612750,C,6
7,LaMarcus Aldridge,32,2018,1610612759,C,7
8,Jarrett Allen,19,2018,1610612751,C,8
9,Kadeem Allen,25,2018,1610612738,PG,9
10,Tony Allen,36,2018,1610612740,SF,10
11,Al-Farouq Aminu,27,2018,1610612757,PF,11
12,Justin Anderson,24,2018,1610612755,SF,12
13,Kyle Anderson,24,2018,1610612759,SF,13
14,Ryan Anderson,29,2018,1610612745,PF,14
15,Ike Anigbogu,19,2018,1610612754,C,15
16,Giannis Antetokounmpo,23,2018,1610612749,PF,16
17,Carmelo Anthony,33,2018,1610612760,PF,17
18,OG Anunoby,20,2018,1610612761,SF,18
19,Ryan Arcidiacono,23,2018,1610612741,PG,19
20,Trevor Ariza,32,2018,1610612745,SF,20
21,Darrell Arthur,29,2018,1610612743,PF,21
22,Jamel Artis,25,2018,1610612753,SG,22
23,Omer Asik,31,2018,1610612740,C,23
24,Omer Asik,31,2018,1610612741,C,24
25,D.J. Augustin,30,2018,1610612753,PG,25
26,Luke Babbitt,28,2018,1610612737,SF,26
27,Luke Babbitt,28,2018,1610612748,SF,27
28,Dwayne Bacon,22,2018,1610612766,SG,28
29,Ron Baker,24,2018,1610612752,SG,29
30,Wade Baldwin,21,2018,1610612757,PG,30
31,Lonzo Ball,20,2018,1610612747,PG,31
32,J.J. Barea,33,2018,1610612742,PG,32
33,Harrison Barnes,25,2018,1610612742,PF,33
34,Will Barton,27,2018,1610612743,SG,34
35,Nicolas Batum,29,2018,1610612766,SG,35
36,Jerryd Bayless,29,2018,1610612755,SG,36
37,Aron Baynes,31,2018,1610612738,C,37
38,Kent Bazemore,28,2018,1610612737,SG,38
39,Bradley Beal,24,2018,1610612764,SG,39
40,Malik Beasley,21,2018,1610612743,SG,40
41,Michael Beasley,29,2018,1610612752,PF,41
42,Marco Belinelli,31,2018,1610612737,SG,42
43,Marco Belinelli,31,2018,1610612755,SG,43
44,Jordan Bell,23,2018,1610612744,C,44
45,"DeAndre' Bembry",23,2018,1610612737,SF,45
46,Dragan Bender,20,2018,1610612756,PF,46
47,Davis Bertans,25,2018,1610612759,PF,47
48,Patrick Beverley,29,2018,1610612746,SG,48
49,Khem Birch,25,2018,1610612753,C,49
50,Jabari Bird,23,2018,1610612738,SG,50
51,Bismack Biyombo,25,2018,1610612753,C,51
52,Nemanja Bjelica,29,2018,1610612750,PF,52
53,Tarik Black,26,2018,1610612745,C,53
54,Antonio Blakeney,21,2018,1610612741,SG,54
55,Eric Bledsoe,28,2018,1610612756,PG,55
56,Eric Bledsoe,28,2018,1610612749,PG,56
57,Vander Blue,25,2018,1610612747,SG,57
58,Bogdan Bogdanovic,25,2018,1610612758,SG,58
59,Bojan Bogdanovic,28,2018,1610612754,SF,59
60,Andrew Bogut,33,2018,1610612747,C,60
61,Joel Bolomboy,24,2018,1610612749,PF,61
62,Devin Booker,21,2018,1610612756,SG,62
63,Trevor Booker,30,2018,1610612751,PF,63
64,Trevor Booker,30,2018,1610612755,PF,64
65,Trevor Booker,30,2018,1610612754,PF,65
66,Chris Boucher,25,2018,1610612744,PF,66
67,Avery Bradley,27,2018,1610612765,SG,67
68,Avery Bradley,27,2018,1610612746,SG,68
69,Tony Bradley,20,2018,1610612762,C,69
70,Corey Brewer,31,2018,1610612747,SF-SG,70
71,Corey Brewer,31,2018,1610612760,SF-SG,71
72,Malcolm Brogdon,25,2018,1610612749,PG,72
73,Aaron Brooks,33,2018,1610612750,PG,73
74,Dillon Brooks,22,2018,1610612763,SF,74
75,MarShon Brooks,29,2018,1610612763,SG,75
76,Anthony Brown,25,2018,1610612750,SF,76
77,Bobby Brown,33,2018,1610612745,PG,77
78,Jaylen Brown,21,2018,1610612738,SG,78
79,Lorenzo Brown,27,2018,1610612761,PG,79
80,Markel Brown,26,2018,1610612745,SG,80
81,Sterling Brown,22,2018,1610612749,SG,81
82,Nicolas Brussino,24,2018,1610612737,SF,82
83,Thomas Bryant,20,2018,1610612747,C,83
84,Reggie Bullock,26,2018,1610612765,SF,84
85,Trey Burke,25,2018,1610612752,PG,85
86,Alec Burks,26,2018,1610612762,SG,86
87,Jimmy Butler,28,2018,1610612750,SG,87
88,Dwight Buycks,28,2018,1610612765,PG,88
89,Bruno Caboclo,22,2018,1610612761,SF,89
90,Bruno Caboclo,22,2018,1610612758,SF,90
91,Jose Calderon,36,2018,1610612739,PG,91
92,Kentavious Caldwell-Pope,24,2018,1610612747,SG,92
93,Isaiah Canaan,26,2018,1610612745,PG-SG,93
94,Isaiah Canaan,26,2018,1610612756,PG-SG,94
95,Clint Capela,23,2018,1610612745,C,95
96,DeMarre Carroll,31,2018,1610612751,SF,96
97,Vince Carter,41,2018,1610612758,SF,97
98,Michael Carter-Williams,26,2018,1610612766,PG,98
99,Alex Caruso,23,2018,1610612747,PG,99
100,Omri Casspi,29,2018,1610612744,SF,100
101,Willie Cauley-Stein,24,2018,1610612758,C,101
102,Tyler Cavanaugh,23,2018,1610612737,PF,102
103,Mario Chalmers,31,2018,1610612763,PG,103
104,Tyson Chandler,35,2018,1610612756,C,104
105,Wilson Chandler,30,2018,1610612743,SF,105
106,Marquese Chriss,20,2018,1610612756,PF,106
107,Ian Clark,26,2018,1610612740,SG,107
108,Jordan Clarkson,25,2018,1610612747,SG,108
109,Jordan Clarkson,25,2018,1610612739,SG,109
110,Gian Clavell,24,2018,1610612742,SG,110
111,Antonius Cleveland,23,2018,1610612742,SG,111
112,Antonius Cleveland,23,2018,1610612737,SG,112
113,John Collins,20,2018,1610612737,PF,113
114,Zach Collins,20,2018,1610612757,C,114
115,Kyle Collinsworth,26,2018,1610612742,SF,115
116,Darren Collison,30,2018,1610612754,PG,116
117,Nick Collison,37,2018,1610612760,PF,117
118,Mike Conley,30,2018,1610612763,PG,118
119,Pat Connaughton,25,2018,1610612757,SG,119
120,Quinn Cook,24,2018,1610612744,PG,120
121,Charles Cooke,23,2018,1610612740,SG,121
122,Jack Cooley,26,2018,1610612758,PF,122
123,Matt Costello,24,2018,1610612759,C,123
124,DeMarcus Cousins,27,2018,1610612740,C,124
125,Robert Covington,27,2018,1610612755,SF,125
126,Allen Crabbe,25,2018,1610612751,SG,126
127,Torrey Craig,27,2018,1610612743,SF,127
128,Jamal Crawford,37,2018,1610612750,SG,128
129,Jordan Crawford,29,2018,1610612740,SG,129
130,Jae Crowder,27,2018,1610612739,SF,130
131,Jae Crowder,27,2018,1610612762,SF,131
132,Dante Cunningham,30,2018,1610612740,SF,132
133,Dante Cunningham,30,2018,1610612751,SF,133
134,Stephen Curry,29,2018,1610612744,PG,134
135,Troy Daniels,26,2018,1610612756,SG,135
136,Anthony Davis,24,2018,1610612740,PF,136
137,Deyonta Davis,21,2018,1610612763,C,137
138,Ed Davis,28,2018,1610612757,C,138
139,Dewayne Dedmon,28,2018,1610612737,C,139
140,Sam Dekker,23,2018,1610612746,PF,140
141,Malcolm Delaney,28,2018,1610612737,PG,141
142,Matthew Dellavedova,27,2018,1610612749,PG,142
143,Luol Deng,32,2018,1610612747,SF,143
