,TeamID,TeamName,TeamAbbr,Location,Gms,MP,FG,FGA,FGP,ThreeP,ThreePA,ThreePP,TwoP,TwoPA,TwoPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name,SeasG,SeasW,SeasL,FranG,FranW,FranL,CareW,CareL,CareWP,POSeasG,POSeasW,POSeasL,POFranG,POFranW,POFranL,POCareG,POCareW,POCareL
0,1,Golden State Warriors,GSW,Oakland/California,82,19730,3509,6981,0.503,926,2370,0.391,2583,4611,0.56,1360,1668,0.815,691,2877,3568,2402,656,612,1267,1607,9304,Steve Kerr,82,58,24,328,265,63,265,63,0.808,21.0,16.0,5.0,83.0,63.0,20.0,83.0,63.0,20.0
1,2,Houston Rockets,HOU,Houston/Texas,82,19755,3174,6906,0.46,1256,3470,0.362,1918,3436,0.558,1609,2061,0.781,739,2825,3564,1767,699,392,1135,1597,9213,Mike D'Antoni,82,65,17,164,120,44,575,470,0.55,17.0,11.0,6.0,28.0,17.0,11.0,87.0,43.0,44.0
2,3,New Orleans Pelicans,NOP,New Orleans/Louisiana,82,19955,3500,7241,0.483,837,2312,0.362,2663,4929,0.54,1324,1716,0.772,712,2924,3636,2195,657,485,1223,1570,9161,Alvin Gentry,82,48,34,246,112,134,447,504,0.47,9.0,5.0,4.0,9.0,5.0,4.0,30.0,17.0,13.0
3,4,Toronto Raptors,TOR,Toronto/Ontario,82,19830,3383,7169,0.472,968,2705,0.358,2415,4464,0.541,1422,1790,0.794,800,2807,3607,1995,626,500,1095,1783,9156,Dwane Casey,82,59,23,558,320,238,373,307,0.549,10.0,4.0,6.0,51.0,21.0,30.0,51.0,21.0,30.0
4,5,Cleveland Cavaliers,CLE,Cleveland/Ohio,82,19730,3311,6950,0.476,981,2636,0.372,2330,4314,0.54,1488,1909,0.779,694,2761,3455,1916,582,312,1126,1524,9091,Tyronn Lue,82,50,32,205,128,77,128,77,0.624,22.0,12.0,10.0,61.0,41.0,20.0,61.0,41.0,20.0
5,6,Denver Nuggets,DEN,Denver/Colorado,82,19880,3338,7102,0.47,940,2536,0.371,2398,4566,0.525,1404,1830,0.767,902,2748,3650,2059,627,404,1227,1533,9020,Mike Malone,82,46,36,246,119,127,158,194,0.449,8.0,3.5,4.0,25.0,10.0,12.0,45.0,17.0,22.0
6,7,Philadelphia 76ers,PHI,Philadelphia/Pennsylvania,82,19780,3349,7098,0.472,901,2445,0.369,2448,4653,0.526,1405,1868,0.752,893,2996,3889,2221,682,420,1353,1811,9004,Brett Brown,82,52,30,410,127,283,127,283,0.31,10.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0,5.0
7,8,Minnesota Timberwolves,MIN,Minneapolis/Minnesota,82,19805,3365,7063,0.476,658,1845,0.357,2707,5218,0.519,1592,1980,0.804,848,2593,3441,1861,689,345,1021,1495,8980,Tom Thibodeau,82,47,35,164,78,86,333,225,0.597,5.0,1.0,4.0,5.0,1.0,4.0,56.0,24.0,32.0
8,9,Los Angeles Clippers,LAC,Los Angeles/California,82,19705,3302,7004,0.471,777,2196,0.354,2525,4808,0.525,1556,2095,0.743,832,2766,3598,1832,628,373,1204,1638,8937,Doc Rivers,82,42,40,410,259,151,846,624,0.576,8.0,3.5,4.0,40.0,18.0,22.0,161.0,82.0,79.0
9,10,Charlotte Hornets,CHO,Charlotte/North Carolina,82,19780,3197,7106,0.45,824,2233,0.369,2373,4873,0.487,1656,2216,0.747,827,2901,3728,1770,559,373,1041,1409,8874,Steve Clifford,82,36,46,410,196,214,196,214,0.478,8.0,3.5,4.0,11.0,3.0,8.0,11.0,3.0,8.0
